Unnamed: 0,To rent,To sell,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of the terrace,Garden,Area of the garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building,zipcode,type,price_per_sq_m,region
5701118,True,False,900.0,3.0,170.0,True,False,False,False,0.0,False,0.0,50.0,50.0,2.0,False,Bon,1400,Maison,18.0,Brussels
9057996,True,False,1100.0,3.0,125.0,True,False,False,False,0.0,True,45.0,1.0,1.0,3.0,False,Excellentétat,4020,Maison,1100.0,Wallonia
9090035,True,False,1200.0,3.0,185.0,True,False,False,True,10.0,False,0.0,360.0,360.0,2.0,False,Bon,3300,Maison,3.3333333333333335,Flanders
9391563,True,False,5900.0,7.0,700.0,True,False,False,True,60.0,True,1000.0,1000.0,1000.0,4.0,False,Bon,1410,Maison,5.9,Brussels
9572169,True,False,1980.0,5.0,180.0,True,True,False,False,0.0,False,0.0,60.0,60.0,2.0,False,Excellentétat,3000,Maison,33.0,Flanders
9577467,True,False,4400.0,4.0,300.0,True,False,False,True,40.0,True,7500.0,7500.0,7500.0,4.0,False,Excellentétat,3090,Villa,0.5866666666666667,Flanders
9621023,True,False,860.0,2.0,120.0,True,False,False,False,0.0,False,0.0,100.0,100.0,3.0,False,Excellentétat,7000,Maison,8.6,Wallonia
9622698,True,False,7000.0,10.0,668.0,True,False,False,True,40.0,True,2500.0,2500.0,2500.0,4.0,False,Bon,1640,Bienexceptionnel,2.8,Brussels
9661415,True,False,2950.0,4.0,230.0,True,False,False,True,50.0,True,1500.0,2100.0,2100.0,4.0,False,Fraîchementrénové,1860,Maison,1.4047619047619047,Brussels
9882253,True,False,800.0,1.0,72.0,True,False,False,True,8.0,False,0.0,40.0,40.0,2.0,False,Bon,9000,Maison,20.0,Flanders
9905238,True,False,5000.0,3.0,244.0,True,False,False,True,90.0,True,200.0,4675.0,4675.0,3.0,False,Excellentétat,1180,Bienexceptionnel,1.0695187165775402,Brussels
9905995,True,False,950.0,4.0,242.0,True,False,False,False,0.0,False,0.0,80.0,80.0,2.0,False,Bon,9600,Maison,11.875,Flanders
9905998,True,False,950.0,4.0,242.0,True,False,False,False,0.0,False,0.0,80.0,80.0,2.0,False,Bon,9600,Immeuble,11.875,Flanders
9962661,True,False,950.0,3.0,130.0,True,False,False,False,0.0,False,0.0,314.0,314.0,4.0,False,Bon,5000,Maison,3.0254777070063694,Wallonia
9969503,True,False,2990.0,6.0,350.0,True,False,False,True,50.0,True,1200.0,1200.0,1200.0,4.0,False,Bon,1410,Maison,2.4916666666666667,Brussels
9975014,True,False,890.0,3.0,110.0,True,False,False,False,0.0,True,170.0,275.0,275.0,2.0,False,Excellentétat,5300,Maison,3.2363636363636363,Wallonia
9978487,True,False,7800.0,5.0,550.0,True,False,True,True,40.0,True,40.0,300.0,300.0,2.0,False,Fraîchementrénové,1050,Maison,26.0,Brussels
9988589,True,False,4450.0,6.0,300.0,True,False,False,True,50.0,True,4800.0,4975.0,4975.0,4.0,False,Bon,3090,Villa,0.8944723618090452,Flanders
10021124,True,False,1450.0,4.0,140.0,True,False,True,False,0.0,True,500.0,600.0,600.0,3.0,False,Bon,4000,Maison,2.4166666666666665,Wallonia
10038048,True,False,1250.0,2.0,100.0,True,False,False,True,25.0,True,115.0,165.0,165.0,2.0,False,Fraîchementrénové,1410,Maison,7.575757575757576,Brussels
10053583,True,False,975.0,4.0,297.0,True,False,False,False,0.0,True,650.0,1130.0,1130.0,4.0,False,Bon,8755,Villa,0.8628318584070797,Brussels
10067455,True,False,300.0,4.0,131.0,True,True,False,True,27.0,True,450.0,536.0,536.0,3.0,False,Bon,1357,Maison,0.5597014925373134,Brussels
10067458,True,False,400.0,3.0,131.0,True,True,False,True,27.0,True,450.0,536.0,536.0,3.0,False,Bon,1357,Maison,0.746268656716418,Brussels
10071218,True,False,3200.0,6.0,360.0,True,False,False,True,30.0,True,60.0,200.0,200.0,2.0,False,Fraîchementrénové,1200,Maison,16.0,Brussels
10077609,True,False,1170.0,4.0,172.0,True,False,False,True,30.0,True,750.0,781.0,781.0,4.0,False,Bon,9880,Villa,1.498079385403329,Flanders
10089292,True,False,985.0,3.0,170.0,True,False,True,True,30.0,True,600.0,700.0,700.0,4.0,False,Bon,7712,Villa,1.4071428571428573,Wallonia
10090832,True,False,15000.0,5.0,520.0,True,False,False,True,32.0,True,90.0,730.0,730.0,2.0,False,Excellentétat,1000,Bienexceptionnel,20.54794520547945,Brussels
