Price,Number of rooms,Living Area,Terrace,Area of the terrace,Garden,Area of the garden,Surface area of the plot of land,Number of facades,zipcode
900.0,3.0,170.0,False,0.0,False,0.0,50.0,2.0,1400
1100.0,3.0,125.0,False,0.0,True,45.0,1.0,3.0,4020
1200.0,3.0,185.0,True,10.0,False,0.0,360.0,2.0,3300
5900.0,7.0,700.0,True,60.0,True,1000.0,1000.0,4.0,1410
1980.0,5.0,180.0,False,0.0,False,0.0,60.0,2.0,3000
4400.0,4.0,300.0,True,40.0,True,7500.0,7500.0,4.0,3090
860.0,2.0,120.0,False,0.0,False,0.0,100.0,3.0,7000
7000.0,10.0,668.0,True,40.0,True,2500.0,2500.0,4.0,1640
2950.0,4.0,230.0,True,50.0,True,1500.0,2100.0,4.0,1860
800.0,1.0,72.0,True,8.0,False,0.0,40.0,2.0,9000
5000.0,3.0,244.0,True,90.0,True,200.0,4675.0,3.0,1180
950.0,4.0,242.0,False,0.0,False,0.0,80.0,2.0,9600
950.0,4.0,242.0,False,0.0,False,0.0,80.0,2.0,9600
950.0,3.0,130.0,False,0.0,False,0.0,314.0,4.0,5000
2990.0,6.0,350.0,True,50.0,True,1200.0,1200.0,4.0,1410
890.0,3.0,110.0,False,0.0,True,170.0,275.0,2.0,5300
7800.0,5.0,550.0,True,40.0,True,40.0,300.0,2.0,1050
4450.0,6.0,300.0,True,50.0,True,4800.0,4975.0,4.0,3090
1450.0,4.0,140.0,False,0.0,True,500.0,600.0,3.0,4000
1250.0,2.0,100.0,True,25.0,True,115.0,165.0,2.0,1410
975.0,4.0,297.0,False,0.0,True,650.0,1130.0,4.0,8755
300.0,4.0,131.0,True,27.0,True,450.0,536.0,3.0,1357
400.0,3.0,131.0,True,27.0,True,450.0,536.0,3.0,1357
3200.0,6.0,360.0,True,30.0,True,60.0,200.0,2.0,1200
1170.0,4.0,172.0,True,30.0,True,750.0,781.0,4.0,9880
985.0,3.0,170.0,True,30.0,True,600.0,700.0,4.0,7712
15000.0,5.0,520.0,True,32.0,True,90.0,730.0,2.0,1000
4000.0,5.0,300.0,True,20.0,True,1000.0,2100.0,4.0,1950
7000.0,5.0,700.0,True,20.0,False,0.0,300.0,2.0,1000
1200.0,2.0,185.0,True,15.0,True,600.0,600.0,2.0,5004
2700.0,5.0,375.0,True,50.0,True,100.0,475.0,3.0,1050
13500.0,5.0,660.0,True,60.0,True,1500.0,2600.0,4.0,1640
5000.0,7.0,465.0,True,40.0,False,0.0,1165.0,4.0,1180
5000.0,7.0,465.0,True,40.0,False,0.0,1165.0,4.0,1180
4500.0,5.0,270.0,True,25.0,True,200.0,350.0,2.0,1050
4200.0,6.0,356.0,True,25.0,True,900.0,1000.0,4.0,1410
6500.0,6.0,425.0,True,50.0,True,2519.0,2519.0,4.0,1410
3250.0,5.0,350.0,True,47.0,False,0.0,140.0,2.0,2000
1775.0,4.0,180.0,True,15.0,False,0.0,200.0,3.0,3000
3950.0,4.0,270.0,True,58.0,True,5900.0,7708.0,4.0,3090
4500.0,6.0,456.0,True,25.0,True,1000.0,1000.0,4.0,1410
3600.0,5.0,230.0,True,20.0,False,0.0,500.0,4.0,3080
1900.0,4.0,130.0,True,15.0,True,150.0,350.0,4.0,1170
2200.0,4.0,250.0,False,0.0,True,700.0,800.0,4.0,1410
2200.0,4.0,192.0,False,0.0,True,578.0,678.0,4.0,1410
3500.0,4.0,292.0,True,30.0,True,1600.0,1600.0,4.0,1410
1775.0,1.0,80.0,True,80.0,False,0.0,85.0,2.0,1050
1200.0,5.0,217.0,True,22.0,True,52.0,160.0,2.0,1400
1250.0,3.0,260.0,True,8.0,True,630.0,1120.0,4.0,5060
4500.0,5.0,375.0,True,30.0,True,200.0,325.0,3.0,1200
3700.0,5.0,315.0,True,30.0,True,900.0,900.0,4.0,3080
1790.0,2.0,180.0,True,30.0,True,120.0,215.0,2.0,1160
1600.0,8.0,280.0,False,0.0,False,0.0,100.0,2.0,4870
4500.0,6.0,400.0,True,69.0,True,2400.0,2700.0,4.0,3080
820.0,2.0,90.0,True,19.0,False,0.0,80.0,3.0,1400
1250.0,2.0,105.0,True,10.0,False,0.0,50.0,2.0,3300
1100.0,3.0,145.0,True,23.0,False,0.0,700.0,3.0,3581
1490.0,3.0,156.0,True,40.0,False,0.0,186.0,3.0,1332
1950.0,4.0,160.0,False,0.0,True,420.0,580.0,2.0,1070
950.0,2.0,371.0,False,0.0,False,0.0,11000.0,3.0,3221
670.0,2.0,70.0,False,0.0,False,0.0,31.0,2.0,8500
2950.0,5.0,289.0,True,100.0,True,300.0,764.0,4.0,1560
2950.0,5.0,289.0,True,100.0,True,300.0,764.0,4.0,3090
5500.0,6.0,600.0,False,0.0,False,0.0,2386.0,4.0,3080
3250.0,4.0,250.0,True,35.0,False,0.0,800.0,3.0,1180
2100.0,5.0,145.0,True,30.0,True,203.0,350.0,3.0,1950
700.0,2.0,105.0,False,0.0,False,0.0,1.0,2.0,4500
2800.0,5.0,290.0,True,15.0,True,705.0,705.0,4.0,1410
2200.0,4.0,185.0,False,0.0,False,0.0,1257.0,4.0,1380
1150.0,3.0,200.0,True,11.0,True,600.0,700.0,2.0,3370
3750.0,4.0,280.0,True,40.0,True,1000.0,1334.0,4.0,1332
3700.0,4.0,195.0,True,21.0,True,50.0,200.0,3.0,1180
1500.0,4.0,174.0,True,18.0,True,112.0,228.0,2.0,6780
2900.0,3.0,229.0,True,10.0,True,400.0,525.0,3.0,1150
945.0,3.0,140.0,False,0.0,False,0.0,408.0,3.0,9880
1100.0,3.0,110.0,True,8.0,True,66.0,165.0,3.0,1435
875.0,4.0,190.0,True,23.0,True,114.0,303.0,2.0,8790
3750.0,4.0,280.0,False,0.0,False,0.0,1300.0,4.0,1332
1990.0,5.0,300.0,True,80.0,True,200.0,350.0,4.0,1560
1200.0,3.0,125.0,True,20.0,True,500.0,500.0,3.0,6890
1200.0,3.0,125.0,True,20.0,True,500.0,500.0,3.0,6890
1000.0,3.0,160.0,False,0.0,True,300.0,458.0,3.0,8790
3800.0,4.0,290.0,True,104.0,False,0.0,740.0,3.0,1180
1450.0,2.0,140.0,True,22.0,True,1000.0,1300.0,4.0,1330
1600.0,4.0,175.0,True,15.0,False,0.0,90.0,2.0,5000
550.0,3.0,120.0,False,0.0,False,0.0,80.0,3.0,6642
3700.0,5.0,315.0,True,25.0,True,900.0,1000.0,4.0,3080
1750.0,2.0,160.0,False,0.0,False,0.0,400.0,4.0,1380
1160.0,4.0,194.0,True,33.0,True,946.0,1042.0,4.0,3582
380.0,6.0,215.0,True,25.0,False,0.0,135.0,2.0,6000
380.0,6.0,215.0,True,25.0,False,0.0,135.0,2.0,6000
1850.0,3.0,175.0,True,50.0,True,170.0,500.0,3.0,1970
7000.0,6.0,450.0,True,50.0,True,50.0,227.0,2.0,1050
875.0,2.0,120.0,True,20.0,True,125.0,280.0,3.0,4840
1700.0,4.0,220.0,False,0.0,True,300.0,405.0,3.0,1400
2650.0,4.0,320.0,True,10.0,True,900.0,900.0,4.0,3090
3650.0,3.0,195.0,True,32.0,True,100.0,200.0,3.0,1180
1450.0,3.0,204.0,True,25.0,True,700.0,700.0,4.0,1860
1500.0,3.0,130.0,True,25.0,False,0.0,475.0,2.0,1650
2950.0,3.0,350.0,True,17.0,False,0.0,385.0,2.0,1000
1200.0,3.0,140.0,False,0.0,True,250.0,337.0,3.0,4020
850.0,2.0,160.0,False,0.0,False,0.0,94.0,2.0,3540
2700.0,4.0,213.0,True,18.0,True,170.0,284.0,2.0,1170
